order_id,customer_id,city,state,order_date,total_units,revenue,product_name,category_name,brand_name,store_name
1,5538,Nashville,TN,2022-03-05,4,680,Coffee Table,Living Room,UrbanFurnish,Peachtree Home Interiors
2,5635,Charlotte,NC,2021-12-05,3,1032,Coffee Table,Living Room,UrbanFurnish,Peachtree Home Interiors
3,7783,Miami,FL,2020-02-28,4,1276,Chair,Office,Homely,Peachtree Home Interiors
4,6765,Charlotte,NC,2023-06-30,2,740,Sofa,Living Room,CraftsWell,Peachtree Home Interiors
5,1406,Orlando,FL,2021-05-01,1,126,Chair,Office,Elegance,Peachtree Home Interiors
6,9313,Atlanta,GA,2022-02-12,5,390,Bookshelf,Living Room,Homely,Peachtree Home Interiors
7,3368,Orlando,FL,2022-07-10,5,915,Chair,Office,UrbanFurnish,Peachtree Home Interiors
8,4707,Orlando,FL,2020-11-25,5,1075,Chair,Office,Homely,Peachtree Home Interiors
9,1477,Nashville,TN,2020-04-20,3,1182,Chair,Office,UrbanFurnish,Peachtree Home Interiors
10,9548,Nashville,TN,2022-12-05,4,976,Chair,Office,Elegance,Peachtree Home Interiors
11,3869,Nashville,TN,2021-10-16,3,1035,Chair,Office,Homely,Peachtree Home Interiors
12,3701,Atlanta,GA,2022-09-03,5,470,Coffee Table,Living Room,CraftsWell,Peachtree Home Interiors
13,2914,Orlando,FL,2023-09-26,1,495,Coffee Table,Living Room,CraftsWell,Peachtree Home Interiors
14,3830,Nashville,TN,2023-01-09,2,186,Chair,Office,ComfortHome,Peachtree Home Interiors
15,8063,Atlanta,GA,2021-02-25,2,862,Dining Table,Dining Room,CraftsWell,Peachtree Home Interiors
16,6419,Charlotte,NC,2023-08-27,5,1990,Sofa,Living Room,UrbanFurnish,Peachtree Home Interiors
17,6564,Orlando,FL,2023-12-30,1,453,Sofa,Living Room,UrbanFurnish,Peachtree Home Interiors
18,5488,Miami,FL,2022-06-30,2,906,Coffee Table,Living Room,Elegance,Peachtree Home Interiors
19,6276,Miami,FL,2023-10-19,3,684,Chair,Office,Homely,Peachtree Home Interiors
20,3917,Nashville,TN,2022-07-22,2,470,Bookshelf,Living Room,ComfortHome,Peachtree Home Interiors
21,5440,Orlando,FL,2021-04-24,4,908,Coffee Table,Living Room,Elegance,Peachtree Home Interiors
22,1488,Atlanta,GA,2023-05-10,3,1275,Bookshelf,Living Room,ComfortHome,Peachtree Home Interiors
23,9216,Nashville,TN,2021-08-31,3,1224,Sofa,Living Room,ComfortHome,Peachtree Home Interiors
24,6933,Miami,FL,2023-10-12,3,1236,Coffee Table,Living Room,CraftsWell,Peachtree Home Interiors
25,3779,Charlotte,NC,2020-05-28,5,725,Sofa,Living Room,Elegance,Peachtree Home Interiors
26,4702,Miami,FL,2022-09-20,2,304,Chair,Office,CraftsWell,Peachtree Home Interiors
27,8834,Orlando,FL,2022-01-24,2,684,Coffee Table,Living Room,UrbanFurnish,Peachtree Home Interiors
28,2418,Orlando,FL,2020-09-02,2,786,Chair,Office,ComfortHome,Peachtree Home Interiors
29,5795,Charlotte,NC,2021-12-09,3,987,Dining Table,Dining Room,Homely,Peachtree Home Interiors
30,2698,Atlanta,GA,2022-08-27,2,802,Sofa,Living Room,Homely,Peachtree Home Interiors
31,4104,Atlanta,GA,2021-12-04,2,324,Coffee Table,Living Room,Homely,Peachtree Home Interiors
32,1431,Atlanta,GA,2022-12-02,3,450,Bookshelf,Living Room,ComfortHome,Peachtree Home Interiors
33,7567,Orlando,FL,2023-05-09,1,200,Coffee Table,Living Room,ComfortHome,Peachtree Home Interiors
34,9533,Nashville,TN,2021-04-07,3,792,Dining Table,Dining Room,UrbanFurnish,Peachtree Home Interiors
35,9606,Orlando,FL,2023-12-04,4,292,Bookshelf,Living Room,UrbanFurnish,Peachtree Home Interiors
36,6149,Orlando,FL,2020-09-29,2,920,Dining Table,Dining Room,ComfortHome,Peachtree Home Interiors
37,6220,Charlotte,NC,2020-09-12,5,610,Dining Table,Dining Room,Homely,Peachtree Home Interiors
38,3947,Charlotte,NC,2020-09-24,1,431,Chair,Office,Elegance,Peachtree Home Interiors
39,6622,Nashville,TN,2023-07-29,1,465,Coffee Table,Living Room,ComfortHome,Peachtree Home Interiors
40,1624,Atlanta,GA,2023-08-08,3,780,Sofa,Living Room,UrbanFurnish,Peachtree Home Interiors
41,7436,Miami,FL,2023-10-29,4,660,Coffee Table,Living Room,UrbanFurnish,Peachtree Home Interiors
42,9961,Atlanta,GA,2022-11-26,3,1341,Sofa,Living Room,UrbanFurnish,Peachtree Home Interiors
43,3986,Atlanta,GA,2020-03-08,4,1672,Coffee Table,Living Room,Elegance,Peachtree Home Interiors
44,6926,Nashville,TN,2020-11-25,4,704,Dining Table,Dining Room,UrbanFurnish,Peachtree Home Interiors
45,4800,Nashville,TN,2020-10-14,3,165,Dining Table,Dining Room,CraftsWell,Peachtree Home Interiors
46,6549,Miami,FL,2021-03-19,4,1240,Dining Table,Dining Room,Homely,Peachtree Home Interiors
47,7628,Charlotte,NC,2023-03-29,3,753,Bookshelf,Living Room,UrbanFurnish,Peachtree Home Interiors
48,5365,Charlotte,NC,2021-03-12,3,783,Bookshelf,Living Room,Homely,Peachtree Home Interiors
49,8497,Charlotte,NC,2023-07-01,3,669,Coffee Table,Living Room,Elegance,Peachtree Home Interiors
50,5299,Orlando,FL,2021-09-11,3,597,Chair,Office,Homely,Peachtree Home Interiors
